@relation soybean_part2
@attribute int-discolor{?,black,brown,none}
@attribute fruit-spots{?,absent,brown_w_blk_specks,colored,dna}
@attribute roots{?,galls_cysts,norm,rotted}
@attribute leafspots-marg{?,dna,no_w_s_marg,w_s_marg}
@attribute plant-growth{?,abnorm,norm}
@attribute leaf-malf{?,absent,present}
@attribute seed-discolor{?,absent,present}
@attribute fruiting-bodies{?,absent,present}
@attribute severity{?,minor,pot_severe,severe}
@attribute plant-stand{?,lt_normal,normal}
@attribute lodging{?,no,yes}
@attribute hail{?,no,yes}
@attribute class{2_4_d_injury,alternarialeaf_spot,anthracnose,bacterial_blight,bacterial_pustule,brown_spot,brown_stem_rot,charcoal_rot,cyst_nematode,diaporthe_pod_stem_blight,diaporthe_stem_canker,downy_mildew,frog_eye_leaf_spot,herbicide_injury,phyllosticta_leaf_spot,phytophthora_rot,powdery_mildew,purple_seed_stain,rhizoctonia_root_rot}
@data
"none","brown_w_blk_specks","norm","dna","norm","absent","absent","present","pot_severe","lt_normal","yes","yes","anthracnose"
"none","brown_w_blk_specks","norm","dna","norm","absent","absent","present","pot_severe","lt_normal","yes","yes","anthracnose"
"none","brown_w_blk_specks","norm","dna","norm","absent","absent","present","pot_severe","lt_normal","yes","yes","anthracnose"
"none","brown_w_blk_specks","norm","dna","norm","absent","absent","present","pot_severe","normal","yes","yes","anthracnose"
"none","brown_w_blk_specks","norm","dna","norm","absent","absent","absent","pot_severe","normal","yes","yes","anthracnose"
"none","brown_w_blk_specks","norm","dna","abnorm","absent","absent","present","minor","lt_normal","no","no","anthracnose"
"none","brown_w_blk_specks","norm","dna","abnorm","absent","absent","present","minor","lt_normal","no","no","anthracnose"
"none","brown_w_blk_specks","norm","dna","norm","absent","absent","present","pot_severe","lt_normal","yes","no","anthracnose"
"none","brown_w_blk_specks","norm","dna","norm","absent","absent","present","minor","lt_normal","yes","no","anthracnose"
"none","brown_w_blk_specks","norm","dna","norm","absent","absent","absent","severe","normal","yes","yes","anthracnose"
"none","brown_w_blk_specks","norm","dna","norm","absent","absent","present","pot_severe","lt_normal","yes","yes","anthracnose"
"none","brown_w_blk_specks","norm","dna","norm","absent","absent","present","pot_severe","normal","yes","yes","anthracnose"
"none","brown_w_blk_specks","norm","dna","norm","absent","absent","absent","severe","lt_normal","yes","yes","anthracnose"
"none","brown_w_blk_specks","norm","dna","norm","absent","absent","present","pot_severe","normal","yes","yes","anthracnose"
"none","brown_w_blk_specks","norm","dna","norm","absent","absent","present","pot_severe","lt_normal","yes","yes","anthracnose"
"none","brown_w_blk_specks","norm","dna","norm","absent","absent","present","pot_severe","normal","yes","yes","anthracnose"
"none","brown_w_blk_specks","norm","dna","norm","absent","absent","absent","pot_severe","lt_normal","yes","yes","anthracnose"
"none","brown_w_blk_specks","norm","dna","norm","absent","absent","present","pot_severe","normal","yes","yes","anthracnose"
"none","absent","norm","w_s_marg","norm","present","absent","absent","pot_severe","normal","yes","no","phyllosticta_leaf_spot"
"none","absent","norm","w_s_marg","abnorm","present","absent","absent","minor","normal","yes","no","phyllosticta_leaf_spot"
"none","absent","norm","w_s_marg","norm","absent","absent","absent","pot_severe","lt_normal","yes","yes","phyllosticta_leaf_spot"
"none","absent","norm","w_s_marg","norm","absent","absent","absent","pot_severe","lt_normal","yes","yes","phyllosticta_leaf_spot"
"none","absent","norm","w_s_marg","norm","absent","absent","absent","minor","normal","yes","no","phyllosticta_leaf_spot"
"none","absent","norm","w_s_marg","norm","absent","absent","absent","minor","normal","yes","no","phyllosticta_leaf_spot"
"none","absent","norm","w_s_marg","abnorm","present","absent","absent","minor","lt_normal","yes","yes","phyllosticta_leaf_spot"
"none","absent","norm","w_s_marg","abnorm","present","absent","absent","minor","lt_normal","yes","yes","phyllosticta_leaf_spot"
"none","absent","norm","w_s_marg","norm","present","absent","absent","minor","lt_normal","yes","yes","phyllosticta_leaf_spot"
"none","absent","norm","w_s_marg","norm","present","absent","absent","minor","lt_normal","yes","yes","phyllosticta_leaf_spot"
"none","absent","norm","w_s_marg","norm","absent","absent","absent","minor","normal","yes","yes","alternarialeaf_spot"
"none","absent","norm","w_s_marg","norm","absent","absent","absent","pot_severe","normal","yes","yes","alternarialeaf_spot"
"none","absent","norm","w_s_marg","norm","absent","absent","absent","pot_severe","lt_normal","yes","yes","alternarialeaf_spot"
"none","absent","norm","w_s_marg","norm","absent","absent","absent","minor","lt_normal","yes","yes","alternarialeaf_spot"
"none","absent","norm","w_s_marg","norm","absent","absent","absent","minor","normal","yes","yes","alternarialeaf_spot"
"none","absent","norm","w_s_marg","norm","absent","absent","absent","minor","normal","yes","yes","alternarialeaf_spot"
"none","absent","norm","w_s_marg","norm","absent","absent","absent","minor","normal","yes","yes","alternarialeaf_spot"
"none","absent","norm","w_s_marg","norm","absent","absent","absent","minor","normal","yes","yes","alternarialeaf_spot"
"none","absent","norm","w_s_marg","norm","absent","present","absent","pot_severe","lt_normal","yes","no","alternarialeaf_spot"
"none","absent","norm","w_s_marg","norm","absent","absent","absent","pot_severe","lt_normal","yes","no","alternarialeaf_spot"
"none","absent","norm","w_s_marg","norm","absent","present","absent","pot_severe","normal","yes","no","alternarialeaf_spot"
"none","absent","norm","w_s_marg","norm","absent","absent","absent","minor","lt_normal","yes","no","alternarialeaf_spot"
"none","absent","norm","w_s_marg","norm","absent","absent","absent","minor","lt_normal","yes","yes","alternarialeaf_spot"
"none","absent","norm","w_s_marg","norm","absent","present","absent","minor","normal","yes","no","alternarialeaf_spot"
"none","absent","norm","w_s_marg","norm","absent","present","absent","pot_severe","normal","yes","no","alternarialeaf_spot"
"none","absent","norm","w_s_marg","norm","absent","present","absent","minor","normal","yes","no","alternarialeaf_spot"
"none","absent","norm","w_s_marg","norm","absent","present","absent","minor","lt_normal","yes","yes","alternarialeaf_spot"
"none","absent","norm","w_s_marg","norm","absent","present","absent","pot_severe","lt_normal","yes","no","alternarialeaf_spot"
"none","absent","norm","w_s_marg","norm","absent","absent","absent","minor","normal","yes","yes","alternarialeaf_spot"
"none","absent","norm","w_s_marg","norm","absent","present","absent","minor","lt_normal","yes","no","alternarialeaf_spot"
"none","absent","norm","w_s_marg","norm","absent","absent","absent","pot_severe","normal","yes","yes","alternarialeaf_spot"
"none","absent","norm","w_s_marg","norm","absent","absent","absent","pot_severe","normal","yes","yes","alternarialeaf_spot"
"none","absent","norm","w_s_marg","norm","absent","absent","absent","minor","lt_normal","yes","yes","alternarialeaf_spot"
"none","absent","norm","w_s_marg","norm","absent","absent","absent","minor","normal","yes","yes","alternarialeaf_spot"
"none","absent","norm","w_s_marg","norm","absent","absent","absent","pot_severe","normal","yes","yes","alternarialeaf_spot"
"none","absent","norm","w_s_marg","norm","absent","absent","absent","minor","lt_normal","yes","yes","alternarialeaf_spot"
"none","absent","norm","w_s_marg","norm","absent","absent","absent","minor","normal","yes","yes","alternarialeaf_spot"
"none","absent","norm","w_s_marg","norm","absent","absent","absent","pot_severe","lt_normal","yes","yes","alternarialeaf_spot"
"none","absent","norm","w_s_marg","norm","absent","absent","absent","minor","normal","yes","yes","alternarialeaf_spot"
"none","absent","norm","w_s_marg","norm","absent","absent","absent","pot_severe","normal","yes","yes","alternarialeaf_spot"
"none","absent","norm","w_s_marg","norm","absent","absent","absent","minor","lt_normal","yes","yes","alternarialeaf_spot"
"none","absent","norm","w_s_marg","norm","absent","absent","absent","minor","normal","yes","yes","alternarialeaf_spot"
"none","absent","norm","w_s_marg","norm","absent","absent","absent","pot_severe","normal","yes","yes","alternarialeaf_spot"
"none","absent","norm","w_s_marg","norm","absent","absent","absent","pot_severe","lt_normal","yes","yes","alternarialeaf_spot"
"none","absent","norm","w_s_marg","norm","absent","absent","absent","pot_severe","normal","yes","yes","alternarialeaf_spot"
"none","absent","norm","w_s_marg","norm","absent","absent","absent","minor","normal","yes","yes","alternarialeaf_spot"
"none","absent","norm","w_s_marg","norm","absent","absent","absent","pot_severe","lt_normal","yes","yes","alternarialeaf_spot"
"none","absent","norm","w_s_marg","norm","absent","absent","absent","pot_severe","normal","yes","yes","alternarialeaf_spot"
"none","absent","norm","w_s_marg","norm","absent","absent","absent","minor","normal","yes","yes","alternarialeaf_spot"
"none","absent","norm","w_s_marg","norm","absent","absent","absent","minor","lt_normal","yes","yes","alternarialeaf_spot"
"none","absent","norm","w_s_marg","norm","absent","absent","absent","pot_severe","normal","yes","yes","alternarialeaf_spot"
"none","absent","norm","w_s_marg","norm","absent","absent","absent","minor","normal","yes","yes","alternarialeaf_spot"
"none","absent","norm","w_s_marg","norm","absent","absent","absent","minor","lt_normal","yes","yes","alternarialeaf_spot"
"none","absent","norm","w_s_marg","norm","absent","absent","absent","minor","normal","yes","yes","alternarialeaf_spot"
"none","absent","norm","w_s_marg","norm","absent","absent","absent","pot_severe","normal","yes","yes","alternarialeaf_spot"
"none","absent","norm","w_s_marg","norm","absent","absent","absent","minor","lt_normal","yes","yes","alternarialeaf_spot"
"none","absent","norm","w_s_marg","norm","absent","absent","absent","pot_severe","normal","yes","yes","alternarialeaf_spot"
"none","absent","norm","w_s_marg","norm","absent","absent","absent","minor","normal","yes","yes","alternarialeaf_spot"
"none","absent","norm","w_s_marg","norm","absent","absent","absent","pot_severe","lt_normal","yes","yes","alternarialeaf_spot"
"none","absent","norm","w_s_marg","norm","absent","absent","absent","pot_severe","normal","yes","yes","alternarialeaf_spot"
"none","absent","norm","w_s_marg","norm","absent","absent","absent","minor","normal","yes","yes","alternarialeaf_spot"
"none","colored","norm","w_s_marg","norm","absent","absent","absent","pot_severe","lt_normal","yes","yes","frog_eye_leaf_spot"
"none","colored","norm","w_s_marg","norm","absent","absent","absent","pot_severe","normal","yes","yes","frog_eye_leaf_spot"
"none","absent","norm","w_s_marg","norm","absent","absent","absent","minor","normal","yes","yes","frog_eye_leaf_spot"
"none","absent","norm","w_s_marg","norm","absent","absent","absent","pot_severe","normal","yes","yes","frog_eye_leaf_spot"
"none","absent","norm","w_s_marg","norm","absent","absent","absent","pot_severe","lt_normal","yes","yes","frog_eye_leaf_spot"
"none","colored","norm","w_s_marg","norm","absent","absent","absent","minor","lt_normal","yes","yes","frog_eye_leaf_spot"
"none","absent","norm","w_s_marg","norm","absent","absent","absent","pot_severe","lt_normal","yes","yes","frog_eye_leaf_spot"
"none","absent","norm","w_s_marg","norm","absent","absent","absent","minor","normal","yes","no","frog_eye_leaf_spot"
"none","absent","norm","w_s_marg","norm","absent","absent","absent","minor","normal","yes","yes","frog_eye_leaf_spot"
"none","colored","norm","w_s_marg","norm","absent","absent","absent","minor","normal","yes","no","frog_eye_leaf_spot"
"none","absent","norm","w_s_marg","norm","absent","absent","absent","pot_severe","normal","yes","no","frog_eye_leaf_spot"
"none","absent","norm","w_s_marg","norm","absent","absent","absent","minor","normal","no","no","frog_eye_leaf_spot"
"none","colored","norm","w_s_marg","abnorm","absent","absent","absent","pot_severe","lt_normal","no","no","frog_eye_leaf_spot"
"none","colored","norm","w_s_marg","norm","absent","absent","absent","minor","normal","yes","no","frog_eye_leaf_spot"
"none","absent","norm","w_s_marg","norm","absent","absent","absent","pot_severe","normal","yes","no","frog_eye_leaf_spot"
"none","absent","norm","w_s_marg","norm","absent","absent","absent","minor","normal","yes","no","frog_eye_leaf_spot"
"none","absent","norm","w_s_marg","abnorm","absent","absent","absent","pot_severe","lt_normal","yes","no","frog_eye_leaf_spot"
"none","absent","norm","w_s_marg","abnorm","absent","absent","absent","pot_severe","lt_normal","no","no","frog_eye_leaf_spot"
"none","absent","norm","w_s_marg","norm","absent","absent","absent","pot_severe","normal","yes","yes","frog_eye_leaf_spot"
"none","colored","norm","w_s_marg","norm","absent","absent","absent","pot_severe","normal","yes","yes","frog_eye_leaf_spot"
"none","colored","norm","w_s_marg","norm","absent","absent","absent","pot_severe","normal","yes","yes","frog_eye_leaf_spot"
"none","colored","norm","w_s_marg","norm","absent","absent","absent","minor","lt_normal","yes","yes","frog_eye_leaf_spot"
"none","colored","norm","w_s_marg","norm","absent","absent","absent","minor","normal","yes","yes","frog_eye_leaf_spot"
"none","colored","norm","w_s_marg","norm","absent","absent","absent","pot_severe","normal","yes","yes","frog_eye_leaf_spot"
"none","colored","norm","w_s_marg","norm","absent","absent","absent","minor","lt_normal","yes","yes","frog_eye_leaf_spot"
"none","colored","norm","w_s_marg","norm","absent","absent","absent","minor","normal","yes","yes","frog_eye_leaf_spot"
"none","colored","norm","w_s_marg","norm","absent","absent","absent","pot_severe","normal","yes","yes","frog_eye_leaf_spot"
"none","colored","norm","w_s_marg","norm","absent","absent","absent","minor","lt_normal","yes","yes","frog_eye_leaf_spot"
"none","colored","norm","w_s_marg","norm","absent","absent","absent","minor","normal","yes","yes","frog_eye_leaf_spot"
"none","colored","norm","w_s_marg","norm","absent","absent","absent","pot_severe","normal","yes","yes","frog_eye_leaf_spot"
"none","colored","norm","w_s_marg","norm","absent","absent","absent","minor","lt_normal","yes","yes","frog_eye_leaf_spot"
"none","colored","norm","w_s_marg","norm","absent","absent","absent","minor","normal","yes","yes","frog_eye_leaf_spot"
"none","colored","norm","w_s_marg","norm","absent","absent","absent","pot_severe","normal","yes","yes","frog_eye_leaf_spot"
"none","colored","norm","w_s_marg","norm","absent","absent","absent","pot_severe","lt_normal","yes","yes","frog_eye_leaf_spot"
"none","colored","norm","w_s_marg","norm","absent","absent","absent","minor","normal","yes","yes","frog_eye_leaf_spot"
"none","colored","norm","w_s_marg","norm","absent","absent","absent","minor","normal","yes","yes","frog_eye_leaf_spot"
"none","colored","norm","w_s_marg","norm","absent","absent","absent","pot_severe","lt_normal","yes","yes","frog_eye_leaf_spot"
"none","colored","norm","w_s_marg","norm","absent","absent","absent","pot_severe","normal","yes","yes","frog_eye_leaf_spot"
"none","colored","norm","w_s_marg","norm","absent","absent","absent","minor","normal","yes","yes","frog_eye_leaf_spot"
"none","colored","norm","w_s_marg","norm","absent","absent","absent","minor","lt_normal","yes","yes","frog_eye_leaf_spot"
"none","colored","norm","w_s_marg","norm","absent","absent","absent","pot_severe","normal","yes","yes","frog_eye_leaf_spot"
"none","colored","norm","w_s_marg","norm","absent","absent","absent","pot_severe","normal","yes","yes","frog_eye_leaf_spot"
"none","colored","norm","w_s_marg","norm","absent","absent","absent","minor","lt_normal","yes","yes","frog_eye_leaf_spot"
"none","colored","norm","w_s_marg","norm","absent","absent","absent","pot_severe","normal","yes","yes","frog_eye_leaf_spot"
"none","colored","norm","w_s_marg","norm","absent","absent","absent","minor","normal","yes","yes","frog_eye_leaf_spot"
"none","colored","norm","w_s_marg","norm","absent","absent","absent","minor","lt_normal","yes","yes","frog_eye_leaf_spot"
"none","colored","norm","w_s_marg","norm","absent","absent","absent","pot_severe","normal","yes","yes","frog_eye_leaf_spot"
"none","colored","norm","w_s_marg","norm","absent","absent","absent","minor","normal","yes","yes","frog_eye_leaf_spot"
"none","colored","norm","w_s_marg","norm","absent","absent","absent","minor","lt_normal","yes","yes","frog_eye_leaf_spot"
"none","colored","norm","w_s_marg","norm","absent","absent","absent","pot_severe","normal","yes","yes","frog_eye_leaf_spot"
"none","colored","norm","w_s_marg","norm","absent","absent","absent","minor","normal","yes","yes","frog_eye_leaf_spot"
"none","brown_w_blk_specks",?,?,"norm",?,"present","present",?,?,?,?,"diaporthe_pod_stem_blight"
"none","brown_w_blk_specks",?,?,"norm",?,"present","present",?,?,?,?,"diaporthe_pod_stem_blight"
"none","brown_w_blk_specks",?,?,"norm",?,"present","present",?,?,?,?,"diaporthe_pod_stem_blight"
"none","brown_w_blk_specks",?,?,"norm",?,"present","present",?,?,?,?,"diaporthe_pod_stem_blight"
"none","brown_w_blk_specks",?,?,"norm",?,"present","present",?,?,?,?,"diaporthe_pod_stem_blight"
"none","brown_w_blk_specks",?,?,"norm",?,"present","present",?,"lt_normal",?,?,"diaporthe_pod_stem_blight"
"none","brown_w_blk_specks",?,?,"norm",?,"present","present",?,"normal",?,?,"diaporthe_pod_stem_blight"
"none","brown_w_blk_specks",?,?,"norm",?,"present","present",?,"normal",?,?,"diaporthe_pod_stem_blight"
"none","brown_w_blk_specks",?,?,"norm",?,"present","present",?,"normal",?,?,"diaporthe_pod_stem_blight"
?,?,"galls_cysts",?,"abnorm",?,?,?,?,?,?,?,"cyst_nematode"
?,?,"galls_cysts",?,"abnorm",?,?,?,?,?,?,?,"cyst_nematode"
?,?,"galls_cysts",?,"abnorm",?,?,?,?,?,?,?,"cyst_nematode"
?,?,"galls_cysts",?,"abnorm",?,?,?,?,?,?,?,"cyst_nematode"
?,?,"galls_cysts",?,"abnorm",?,?,?,?,?,?,?,"cyst_nematode"
?,?,"galls_cysts",?,"abnorm",?,?,?,?,?,?,?,"cyst_nematode"
?,?,"galls_cysts",?,"abnorm",?,?,?,?,?,?,?,"cyst_nematode"
?,?,"galls_cysts",?,"abnorm",?,?,?,?,?,?,?,"cyst_nematode"
?,?,?,"dna",?,"present",?,?,?,?,?,?,"2_4_d_injury"
?,?,?,"dna",?,"present",?,?,?,?,?,?,"2_4_d_injury"
?,?,?,"dna",?,"present",?,?,?,?,?,?,"2_4_d_injury"
?,?,?,"dna",?,"present",?,?,?,?,?,?,"2_4_d_injury"
?,?,?,"dna",?,"present",?,?,?,?,?,?,"2_4_d_injury"
?,?,?,"dna",?,"present",?,?,?,?,?,?,"2_4_d_injury"
?,?,?,"dna",?,"present",?,?,?,?,?,?,"2_4_d_injury"
?,?,?,"dna",?,"present",?,?,?,?,?,?,"2_4_d_injury"
?,?,?,"dna",?,"present",?,?,?,?,?,?,"2_4_d_injury"
?,?,?,"dna",?,"present",?,?,?,?,?,?,"2_4_d_injury"
?,?,?,"dna",?,"present",?,?,?,?,?,?,"2_4_d_injury"
?,?,?,"dna",?,"present",?,?,?,?,?,?,"2_4_d_injury"
?,?,?,"dna",?,"present",?,?,?,?,?,?,"2_4_d_injury"
?,?,?,"dna",?,"present",?,?,?,?,?,?,"2_4_d_injury"
?,?,?,"dna",?,"present",?,?,?,?,?,?,"2_4_d_injury"
?,?,"rotted","dna","abnorm","present",?,?,?,"lt_normal",?,?,"herbicide_injury"
?,?,"rotted","dna","abnorm","present",?,?,?,"lt_normal",?,?,"herbicide_injury"
?,?,"rotted","no_w_s_marg","abnorm","present",?,?,?,"lt_normal",?,?,"herbicide_injury"
?,?,"rotted","no_w_s_marg","abnorm","present",?,?,?,"lt_normal",?,?,"herbicide_injury"
