@relation credit_g_part1
@attribute checking_status{0_X_200,_0,_200,no_checking}
@attribute credit_history{all_paid,critical_other_existing_credit,delayed_previously,existing_paid,no_credits_all_paid}
@attribute credit_amount real
@attribute employment{1_X_4,4_X_7,_1,_7,unemployed}
@attribute housing{for_free,own,rent}
@attribute age real
@attribute personal_status{female_div_dep_mar,male_div_sep,male_mar_wid,male_single}
@attribute job{high_qualif_self_emp_mgmt,skilled,unemp_unskilled_non_res,unskilled_resident}
@attribute own_telephone{none,yes}
@attribute residence_since real
@attribute class{bad,good}
@data
"0_X_200","no_credits_all_paid",8318.0,"_7","for_free",42.0,"female_div_dep_mar","high_qualif_self_emp_mgmt","yes",4.0,"bad"
"no_checking","critical_other_existing_credit",1237.0,"1_X_4","own",27.0,"female_div_dep_mar","skilled","none",1.0,"good"
"0_X_200","existing_paid",368.0,"_7","own",38.0,"male_single","skilled","none",4.0,"good"
"_0","critical_other_existing_credit",2122.0,"1_X_4","rent",39.0,"male_single","unskilled_resident","none",2.0,"good"
"_0","existing_paid",2996.0,"1_X_4","own",20.0,"male_mar_wid","skilled","none",4.0,"bad"
"0_X_200","existing_paid",9034.0,"_1","rent",29.0,"male_single","high_qualif_self_emp_mgmt","yes",1.0,"bad"
"no_checking","critical_other_existing_credit",1585.0,"4_X_7","own",40.0,"male_single","skilled","none",3.0,"good"
"0_X_200","existing_paid",1301.0,"_7","own",32.0,"male_mar_wid","unskilled_resident","none",2.0,"good"
"_200","critical_other_existing_credit",1323.0,"_7","own",28.0,"male_div_sep","skilled","yes",4.0,"good"
"_0","existing_paid",3123.0,"_1","own",27.0,"female_div_dep_mar","skilled","none",1.0,"bad"
"_0","existing_paid",5493.0,"_7","for_free",42.0,"male_single","skilled","none",4.0,"good"
"_200","existing_paid",1126.0,"_7","own",49.0,"male_div_sep","skilled","none",4.0,"good"
"0_X_200","critical_other_existing_credit",1216.0,"_1","own",38.0,"male_single","skilled","none",4.0,"bad"
"_0","existing_paid",1207.0,"_1","rent",24.0,"female_div_dep_mar","skilled","none",4.0,"bad"
"no_checking","existing_paid",1309.0,"1_X_4","own",27.0,"male_single","unskilled_resident","none",4.0,"bad"
"_200","critical_other_existing_credit",2360.0,"1_X_4","own",36.0,"male_single","skilled","yes",2.0,"good"
"0_X_200","all_paid",6850.0,"unemployed","own",34.0,"male_single","high_qualif_self_emp_mgmt","yes",2.0,"bad"
"no_checking","existing_paid",1413.0,"1_X_4","own",28.0,"male_mar_wid","skilled","none",2.0,"good"
"no_checking","existing_paid",8588.0,"_7","own",45.0,"male_single","high_qualif_self_emp_mgmt","yes",2.0,"good"
"_0","existing_paid",759.0,"4_X_7","own",26.0,"male_single","skilled","none",2.0,"bad"
"no_checking","existing_paid",4686.0,"1_X_4","for_free",32.0,"male_single","high_qualif_self_emp_mgmt","yes",2.0,"good"
"_200","existing_paid",2687.0,"4_X_7","rent",26.0,"male_single","skilled","yes",4.0,"good"
"0_X_200","delayed_previously",585.0,"1_X_4","rent",20.0,"male_mar_wid","skilled","none",4.0,"good"
"no_checking","existing_paid",2255.0,"_1","own",54.0,"male_single","skilled","none",1.0,"good"
"_0","critical_other_existing_credit",609.0,"4_X_7","own",37.0,"female_div_dep_mar","skilled","none",3.0,"good"
"_0","critical_other_existing_credit",1361.0,"_1","own",40.0,"male_single","unskilled_resident","none",4.0,"good"
"no_checking","critical_other_existing_credit",7127.0,"_1","rent",23.0,"female_div_dep_mar","skilled","yes",4.0,"bad"
"_0","existing_paid",1203.0,"_7","own",43.0,"male_single","skilled","yes",2.0,"good"
"no_checking","critical_other_existing_credit",700.0,"_7","for_free",36.0,"male_single","skilled","none",4.0,"good"
"no_checking","critical_other_existing_credit",5507.0,"_7","for_free",44.0,"male_single","skilled","none",4.0,"good"
"_0","existing_paid",3190.0,"1_X_4","own",24.0,"female_div_dep_mar","skilled","none",2.0,"bad"
"_0","no_credits_all_paid",7119.0,"1_X_4","for_free",53.0,"male_single","skilled","none",4.0,"bad"
"no_checking","existing_paid",3488.0,"4_X_7","own",23.0,"female_div_dep_mar","skilled","none",4.0,"good"
"0_X_200","existing_paid",1113.0,"1_X_4","own",26.0,"female_div_dep_mar","unskilled_resident","none",4.0,"good"
"0_X_200","existing_paid",7966.0,"_1","own",30.0,"male_single","skilled","none",3.0,"good"
"no_checking","critical_other_existing_credit",1532.0,"1_X_4","own",31.0,"female_div_dep_mar","skilled","none",3.0,"good"
"no_checking","critical_other_existing_credit",1503.0,"4_X_7","own",42.0,"male_single","unskilled_resident","none",1.0,"good"
"_0","existing_paid",2302.0,"1_X_4","rent",31.0,"male_div_sep","skilled","none",4.0,"bad"
"_0","existing_paid",662.0,"_1","own",41.0,"male_single","unskilled_resident","yes",4.0,"good"
"0_X_200","existing_paid",2273.0,"4_X_7","own",32.0,"male_single","skilled","none",1.0,"good"
"0_X_200","existing_paid",2631.0,"1_X_4","rent",28.0,"female_div_dep_mar","skilled","yes",4.0,"bad"
"no_checking","delayed_previously",1503.0,"1_X_4","rent",41.0,"male_mar_wid","skilled","none",4.0,"good"
"no_checking","existing_paid",1311.0,"4_X_7","own",26.0,"male_mar_wid","skilled","yes",3.0,"good"
"no_checking","existing_paid",3105.0,"_1","own",25.0,"male_single","skilled","none",2.0,"good"
"_200","critical_other_existing_credit",2319.0,"_1","rent",33.0,"male_div_sep","skilled","none",1.0,"bad"
"_0","existing_paid",1374.0,"unemployed","own",75.0,"female_div_dep_mar","high_qualif_self_emp_mgmt","yes",3.0,"good"
"0_X_200","critical_other_existing_credit",3612.0,"_7","own",37.0,"female_div_dep_mar","skilled","yes",4.0,"good"
"_0","existing_paid",7763.0,"_7","for_free",42.0,"male_single","high_qualif_self_emp_mgmt","none",4.0,"bad"
"_200","existing_paid",3049.0,"_1","own",45.0,"female_div_dep_mar","unskilled_resident","none",1.0,"good"
"0_X_200","existing_paid",1534.0,"_1","rent",23.0,"male_mar_wid","skilled","none",1.0,"bad"
"no_checking","delayed_previously",2032.0,"_7","for_free",60.0,"male_single","skilled","yes",4.0,"good"
"_0","existing_paid",6350.0,"_7","own",31.0,"male_single","skilled","none",4.0,"bad"
"_200","existing_paid",2864.0,"1_X_4","own",34.0,"male_single","unskilled_resident","none",1.0,"bad"
"no_checking","critical_other_existing_credit",1255.0,"_7","own",61.0,"male_single","unskilled_resident","none",4.0,"good"
"_0","delayed_previously",1333.0,"unemployed","for_free",43.0,"male_single","skilled","none",2.0,"bad"
"no_checking","critical_other_existing_credit",2022.0,"1_X_4","own",37.0,"female_div_dep_mar","skilled","yes",4.0,"good"
"no_checking","existing_paid",1552.0,"4_X_7","own",32.0,"male_single","skilled","none",1.0,"good"
"_0","all_paid",626.0,"1_X_4","own",24.0,"female_div_dep_mar","unskilled_resident","none",4.0,"bad"
"no_checking","critical_other_existing_credit",8858.0,"4_X_7","for_free",35.0,"male_single","skilled","yes",1.0,"good"
"no_checking","critical_other_existing_credit",996.0,"4_X_7","own",23.0,"female_div_dep_mar","skilled","none",4.0,"good"
"no_checking","all_paid",1750.0,"_7","own",45.0,"male_single","unskilled_resident","none",4.0,"good"
"_0","existing_paid",6999.0,"4_X_7","own",34.0,"male_mar_wid","skilled","yes",1.0,"bad"
"0_X_200","critical_other_existing_credit",1995.0,"_1","own",27.0,"male_single","skilled","none",1.0,"good"
"0_X_200","existing_paid",1199.0,"4_X_7","own",67.0,"female_div_dep_mar","high_qualif_self_emp_mgmt","yes",4.0,"good"
"0_X_200","existing_paid",1331.0,"_1","own",22.0,"male_single","skilled","none",1.0,"bad"
"0_X_200","no_credits_all_paid",2278.0,"_1","own",28.0,"female_div_dep_mar","skilled","none",3.0,"bad"
"no_checking","no_credits_all_paid",5003.0,"1_X_4","own",29.0,"female_div_dep_mar","skilled","yes",4.0,"bad"
"_0","all_paid",3552.0,"4_X_7","own",27.0,"male_single","skilled","none",4.0,"bad"
"0_X_200","critical_other_existing_credit",1928.0,"_1","own",31.0,"male_single","unskilled_resident","none",2.0,"bad"
"_0","existing_paid",2964.0,"_7","for_free",49.0,"male_single","skilled","yes",4.0,"good"
"_0","all_paid",1546.0,"4_X_7","rent",24.0,"male_single","unskilled_resident","none",4.0,"bad"
"_200","delayed_previously",683.0,"_1","own",29.0,"female_div_dep_mar","skilled","none",1.0,"good"
"0_X_200","existing_paid",12389.0,"1_X_4","for_free",37.0,"male_single","skilled","yes",4.0,"bad"
"0_X_200","delayed_previously",4712.0,"1_X_4","own",37.0,"male_single","high_qualif_self_emp_mgmt","yes",2.0,"good"
"0_X_200","delayed_previously",1553.0,"4_X_7","rent",23.0,"female_div_dep_mar","skilled","yes",2.0,"good"
"_0","existing_paid",1372.0,"4_X_7","own",36.0,"male_div_sep","skilled","none",3.0,"bad"
"no_checking","critical_other_existing_credit",2578.0,"_7","own",34.0,"male_single","skilled","none",2.0,"good"
"0_X_200","existing_paid",3979.0,"4_X_7","own",41.0,"male_single","skilled","yes",1.0,"good"
"_0","existing_paid",6758.0,"1_X_4","own",31.0,"female_div_dep_mar","skilled","yes",2.0,"bad"
"_0","existing_paid",3234.0,"_1","rent",23.0,"female_div_dep_mar","unskilled_resident","yes",4.0,"bad"
"no_checking","critical_other_existing_credit",5954.0,"4_X_7","own",38.0,"male_single","skilled","none",2.0,"good"
"no_checking","existing_paid",5433.0,"unemployed","rent",26.0,"female_div_dep_mar","high_qualif_self_emp_mgmt","yes",4.0,"good"
"_0","existing_paid",806.0,"1_X_4","own",22.0,"female_div_dep_mar","unskilled_resident","none",4.0,"good"
"0_X_200","existing_paid",1082.0,"_7","own",27.0,"male_single","unskilled_resident","none",4.0,"good"
"no_checking","critical_other_existing_credit",2788.0,"4_X_7","own",24.0,"female_div_dep_mar","skilled","none",3.0,"good"
"0_X_200","existing_paid",2930.0,"4_X_7","own",27.0,"female_div_dep_mar","skilled","none",1.0,"good"
"no_checking","critical_other_existing_credit",1927.0,"1_X_4","own",33.0,"female_div_dep_mar","skilled","yes",2.0,"good"
"0_X_200","critical_other_existing_credit",2820.0,"_1","own",27.0,"male_div_sep","skilled","none",4.0,"bad"
"no_checking","existing_paid",937.0,"_1","own",27.0,"male_mar_wid","unskilled_resident","none",3.0,"good"
"0_X_200","critical_other_existing_credit",1056.0,"_7","own",30.0,"male_single","skilled","none",3.0,"bad"
"0_X_200","critical_other_existing_credit",3124.0,"_1","own",49.0,"male_single","unskilled_resident","none",3.0,"good"
"no_checking","existing_paid",1388.0,"1_X_4","rent",26.0,"female_div_dep_mar","skilled","none",2.0,"good"
"0_X_200","existing_paid",2384.0,"_1","rent",33.0,"male_single","unskilled_resident","none",1.0,"bad"
"no_checking","existing_paid",2133.0,"_7","for_free",52.0,"female_div_dep_mar","high_qualif_self_emp_mgmt","yes",4.0,"good"
"_0","existing_paid",2039.0,"1_X_4","rent",20.0,"female_div_dep_mar","skilled","none",4.0,"bad"
"_0","critical_other_existing_credit",2799.0,"1_X_4","rent",36.0,"male_single","skilled","none",2.0,"good"
"_0","existing_paid",1289.0,"1_X_4","own",21.0,"male_single","unskilled_resident","none",1.0,"good"
"_0","existing_paid",1217.0,"1_X_4","own",47.0,"male_mar_wid","unskilled_resident","yes",3.0,"bad"
"_0","critical_other_existing_credit",2246.0,"_7","own",60.0,"male_single","skilled","none",3.0,"bad"
"_0","critical_other_existing_credit",385.0,"4_X_7","own",58.0,"female_div_dep_mar","unskilled_resident","yes",3.0,"good"
"0_X_200","delayed_previously",1965.0,"1_X_4","rent",42.0,"female_div_dep_mar","skilled","yes",4.0,"good"
"no_checking","existing_paid",1572.0,"_7","own",36.0,"female_div_dep_mar","unskilled_resident","none",4.0,"good"
"0_X_200","existing_paid",2718.0,"1_X_4","rent",20.0,"female_div_dep_mar","unskilled_resident","yes",4.0,"bad"
"_0","all_paid",1358.0,"_7","own",40.0,"male_single","high_qualif_self_emp_mgmt","yes",3.0,"bad"
"0_X_200","all_paid",931.0,"_1","own",32.0,"female_div_dep_mar","unskilled_resident","none",1.0,"bad"
"_0","existing_paid",1442.0,"4_X_7","rent",23.0,"female_div_dep_mar","skilled","none",4.0,"bad"
"0_X_200","no_credits_all_paid",4241.0,"1_X_4","own",36.0,"male_single","unskilled_resident","yes",4.0,"bad"
"no_checking","critical_other_existing_credit",2775.0,"4_X_7","own",31.0,"male_single","skilled","none",2.0,"bad"
"no_checking","delayed_previously",3863.0,"1_X_4","for_free",32.0,"male_single","skilled","none",2.0,"good"
"0_X_200","existing_paid",2329.0,"_1","own",45.0,"female_div_dep_mar","skilled","none",1.0,"good"
"0_X_200","existing_paid",918.0,"1_X_4","own",30.0,"female_div_dep_mar","skilled","none",1.0,"bad"
"0_X_200","all_paid",1837.0,"4_X_7","for_free",34.0,"female_div_dep_mar","unskilled_resident","none",4.0,"bad"
"no_checking","existing_paid",3349.0,"1_X_4","own",28.0,"female_div_dep_mar","high_qualif_self_emp_mgmt","yes",2.0,"bad"
"_200","existing_paid",1275.0,"_1","own",23.0,"female_div_dep_mar","skilled","none",2.0,"good"
"_0","all_paid",2828.0,"1_X_4","own",22.0,"male_single","skilled","yes",4.0,"good"
"no_checking","critical_other_existing_credit",4526.0,"1_X_4","own",74.0,"male_single","high_qualif_self_emp_mgmt","yes",2.0,"good"
"0_X_200","existing_paid",2671.0,"1_X_4","for_free",50.0,"female_div_dep_mar","skilled","none",4.0,"bad"
"no_checking","existing_paid",2051.0,"_1","own",33.0,"male_single","skilled","none",1.0,"good"
"no_checking","existing_paid",1300.0,"_7","for_free",45.0,"male_single","skilled","none",4.0,"good"
"_0","existing_paid",741.0,"unemployed","own",22.0,"female_div_dep_mar","skilled","none",3.0,"bad"
"_200","existing_paid",1240.0,"_7","for_free",48.0,"female_div_dep_mar","unskilled_resident","none",4.0,"bad"
"_0","existing_paid",3357.0,"_1","own",29.0,"female_div_dep_mar","skilled","none",2.0,"good"
"_0","all_paid",3632.0,"1_X_4","rent",22.0,"female_div_dep_mar","skilled","none",4.0,"good"
"no_checking","delayed_previously",1808.0,"4_X_7","own",22.0,"female_div_dep_mar","skilled","none",1.0,"bad"
"0_X_200","no_credits_all_paid",12204.0,"1_X_4","own",48.0,"male_single","high_qualif_self_emp_mgmt","yes",2.0,"good"
"0_X_200","delayed_previously",9157.0,"1_X_4","for_free",27.0,"male_single","high_qualif_self_emp_mgmt","none",2.0,"good"
"_0","critical_other_existing_credit",3676.0,"1_X_4","rent",37.0,"male_single","skilled","none",3.0,"good"
"0_X_200","existing_paid",3441.0,"1_X_4","rent",21.0,"female_div_dep_mar","skilled","none",4.0,"bad"
"no_checking","existing_paid",640.0,"1_X_4","own",49.0,"male_div_sep","unskilled_resident","none",2.0,"good"
"0_X_200","critical_other_existing_credit",3652.0,"4_X_7","own",27.0,"male_single","skilled","none",3.0,"good"
"no_checking","critical_other_existing_credit",1530.0,"1_X_4","own",32.0,"male_single","skilled","none",2.0,"bad"
"no_checking","existing_paid",3914.0,"1_X_4","own",38.0,"male_div_sep","skilled","none",2.0,"bad"
"_0","existing_paid",1858.0,"_1","rent",22.0,"female_div_dep_mar","skilled","none",1.0,"good"
"_0","existing_paid",2600.0,"1_X_4","for_free",65.0,"male_single","skilled","none",4.0,"bad"
"no_checking","existing_paid",1979.0,"_7","own",35.0,"male_single","skilled","none",2.0,"good"
"_200","existing_paid",2116.0,"1_X_4","own",41.0,"male_single","skilled","yes",2.0,"good"
"0_X_200","all_paid",1437.0,"4_X_7","own",29.0,"male_single","skilled","none",3.0,"bad"
"no_checking","critical_other_existing_credit",4042.0,"1_X_4","own",36.0,"male_single","skilled","yes",4.0,"good"
"no_checking","existing_paid",3832.0,"_7","own",64.0,"male_single","unskilled_resident","none",4.0,"good"
"_0","existing_paid",3660.0,"1_X_4","own",28.0,"female_div_dep_mar","skilled","none",4.0,"good"
"_0","all_paid",1553.0,"1_X_4","own",44.0,"male_single","skilled","none",3.0,"bad"
"0_X_200","existing_paid",1444.0,"_1","own",23.0,"male_single","skilled","none",1.0,"good"
"no_checking","existing_paid",1980.0,"_1","rent",19.0,"female_div_dep_mar","skilled","none",2.0,"bad"
"0_X_200","existing_paid",1355.0,"_1","own",25.0,"female_div_dep_mar","unskilled_resident","yes",4.0,"bad"
"no_checking","existing_paid",1393.0,"_7","own",47.0,"male_single","skilled","yes",4.0,"good"
"no_checking","existing_paid",1376.0,"4_X_7","own",28.0,"female_div_dep_mar","skilled","none",1.0,"good"
"no_checking","delayed_previously",15653.0,"4_X_7","own",21.0,"male_single","skilled","yes",4.0,"good"
"no_checking","existing_paid",1493.0,"_1","own",34.0,"female_div_dep_mar","skilled","none",3.0,"good"
"_0","delayed_previously",4370.0,"4_X_7","own",26.0,"male_single","skilled","yes",2.0,"bad"
"_0","existing_paid",750.0,"unemployed","own",27.0,"female_div_dep_mar","unemp_unskilled_non_res","none",1.0,"bad"
"0_X_200","existing_paid",1308.0,"_7","own",38.0,"male_single","unskilled_resident","none",4.0,"good"
"no_checking","existing_paid",4623.0,"1_X_4","own",40.0,"male_single","high_qualif_self_emp_mgmt","yes",2.0,"bad"
"no_checking","critical_other_existing_credit",1851.0,"4_X_7","own",33.0,"male_mar_wid","skilled","yes",2.0,"good"
"_0","critical_other_existing_credit",1880.0,"4_X_7","own",32.0,"male_mar_wid","high_qualif_self_emp_mgmt","yes",1.0,"good"
"no_checking","delayed_previously",7980.0,"_1","rent",27.0,"male_single","skilled","yes",4.0,"bad"
"_0","no_credits_all_paid",4583.0,"1_X_4","own",32.0,"male_div_sep","skilled","none",2.0,"good"
"no_checking","existing_paid",1386.0,"1_X_4","own",26.0,"female_div_dep_mar","skilled","none",2.0,"bad"
"_200","existing_paid",947.0,"4_X_7","for_free",38.0,"male_single","skilled","none",3.0,"bad"
"_0","existing_paid",684.0,"1_X_4","rent",40.0,"male_single","unskilled_resident","none",4.0,"bad"
"_0","existing_paid",7476.0,"4_X_7","for_free",50.0,"male_single","high_qualif_self_emp_mgmt","yes",1.0,"good"
"0_X_200","existing_paid",1922.0,"1_X_4","own",37.0,"male_single","unskilled_resident","none",2.0,"bad"
"_0","existing_paid",2303.0,"_7","own",45.0,"male_single","skilled","none",1.0,"bad"
"0_X_200","delayed_previously",8086.0,"_7","own",42.0,"male_single","high_qualif_self_emp_mgmt","yes",4.0,"bad"
"no_checking","critical_other_existing_credit",2346.0,"4_X_7","own",35.0,"male_single","skilled","yes",3.0,"good"
"_0","existing_paid",3973.0,"unemployed","for_free",22.0,"male_single","skilled","none",4.0,"good"
"0_X_200","existing_paid",888.0,"_7","own",41.0,"male_single","unskilled_resident","none",4.0,"bad"
"no_checking","existing_paid",10222.0,"4_X_7","own",37.0,"male_single","skilled","yes",3.0,"good"
"0_X_200","no_credits_all_paid",4221.0,"1_X_4","own",28.0,"female_div_dep_mar","skilled","none",1.0,"good"
"0_X_200","critical_other_existing_credit",6361.0,"_7","own",41.0,"male_single","skilled","yes",1.0,"good"
"_200","existing_paid",1297.0,"1_X_4","rent",23.0,"male_mar_wid","skilled","none",4.0,"good"
"_0","existing_paid",900.0,"1_X_4","own",23.0,"male_mar_wid","skilled","none",2.0,"bad"
"no_checking","existing_paid",2241.0,"_7","own",50.0,"male_single","skilled","none",2.0,"good"
"0_X_200","delayed_previously",1050.0,"unemployed","own",35.0,"male_single","high_qualif_self_emp_mgmt","yes",1.0,"good"
"_200","critical_other_existing_credit",1047.0,"1_X_4","own",50.0,"female_div_dep_mar","unskilled_resident","none",4.0,"good"
"no_checking","critical_other_existing_credit",6314.0,"unemployed","own",27.0,"male_single","high_qualif_self_emp_mgmt","yes",2.0,"good"
"0_X_200","all_paid",3496.0,"1_X_4","own",34.0,"male_single","skilled","yes",2.0,"good"
"no_checking","all_paid",3609.0,"1_X_4","own",27.0,"female_div_dep_mar","skilled","none",1.0,"good"
"_0","critical_other_existing_credit",4843.0,"_7","rent",43.0,"male_single","skilled","yes",4.0,"bad"
"_200","critical_other_existing_credit",3017.0,"_7","own",47.0,"male_single","skilled","none",4.0,"good"
"no_checking","critical_other_existing_credit",4139.0,"1_X_4","own",27.0,"male_single","unskilled_resident","yes",3.0,"good"
"no_checking","existing_paid",5742.0,"4_X_7","own",31.0,"male_single","skilled","yes",2.0,"good"
"no_checking","existing_paid",10366.0,"_7","own",42.0,"male_single","high_qualif_self_emp_mgmt","yes",4.0,"good"
"no_checking","critical_other_existing_credit",2080.0,"1_X_4","own",24.0,"male_mar_wid","skilled","none",2.0,"good"
"no_checking","delayed_previously",2580.0,"_1","own",41.0,"male_single","unskilled_resident","none",2.0,"bad"
"no_checking","critical_other_existing_credit",4530.0,"4_X_7","rent",26.0,"female_div_dep_mar","high_qualif_self_emp_mgmt","yes",4.0,"good"
"no_checking","critical_other_existing_credit",5150.0,"_7","own",33.0,"male_single","skilled","yes",4.0,"good"
"0_X_200","existing_paid",5595.0,"1_X_4","own",24.0,"male_mar_wid","skilled","none",2.0,"bad"
"_0","existing_paid",2384.0,"_7","rent",64.0,"male_single","unskilled_resident","none",4.0,"good"
"no_checking","existing_paid",1453.0,"_1","own",26.0,"female_div_dep_mar","skilled","none",1.0,"good"
"no_checking","existing_paid",1538.0,"_1","own",56.0,"female_div_dep_mar","skilled","none",2.0,"good"
"no_checking","existing_paid",2279.0,"1_X_4","for_free",37.0,"male_single","skilled","yes",4.0,"good"
"no_checking","delayed_previously",1478.0,"1_X_4","own",33.0,"male_mar_wid","skilled","none",3.0,"good"
"no_checking","critical_other_existing_credit",5103.0,"_1","for_free",47.0,"male_mar_wid","skilled","yes",3.0,"good"
"0_X_200","delayed_previously",9857.0,"4_X_7","own",31.0,"male_single","unskilled_resident","yes",3.0,"good"
"no_checking","existing_paid",6527.0,"1_X_4","for_free",34.0,"male_single","skilled","yes",4.0,"good"
"_200","critical_other_existing_credit",1347.0,"4_X_7","own",27.0,"male_single","skilled","yes",2.0,"good"
"0_X_200","delayed_previously",2862.0,"_7","for_free",30.0,"male_single","skilled","none",3.0,"good"
"no_checking","existing_paid",2753.0,"_7","own",35.0,"male_single","skilled","yes",4.0,"good"
"_0","existing_paid",3651.0,"1_X_4","own",31.0,"male_single","skilled","none",3.0,"good"
"_0","critical_other_existing_credit",975.0,"1_X_4","own",25.0,"male_div_sep","skilled","none",3.0,"good"
"0_X_200","existing_paid",2631.0,"1_X_4","own",25.0,"female_div_dep_mar","unskilled_resident","none",2.0,"good"
"0_X_200","existing_paid",2896.0,"_1","own",29.0,"male_single","skilled","none",1.0,"good"
"_0","critical_other_existing_credit",4716.0,"_1","own",44.0,"male_single","unskilled_resident","none",3.0,"good"
"no_checking","existing_paid",2284.0,"4_X_7","own",28.0,"male_single","skilled","yes",2.0,"good"
"no_checking","existing_paid",1236.0,"1_X_4","rent",50.0,"male_single","skilled","none",4.0,"good"
"0_X_200","existing_paid",1103.0,"4_X_7","own",29.0,"male_single","skilled","none",3.0,"good"
"no_checking","critical_other_existing_credit",926.0,"unemployed","own",38.0,"female_div_dep_mar","unemp_unskilled_non_res","none",2.0,"good"
"no_checking","critical_other_existing_credit",1800.0,"1_X_4","own",24.0,"male_single","skilled","none",2.0,"good"
"_200","existing_paid",1905.0,"_7","rent",40.0,"male_single","high_qualif_self_emp_mgmt","yes",4.0,"good"
"no_checking","existing_paid",1123.0,"1_X_4","rent",29.0,"female_div_dep_mar","unskilled_resident","none",4.0,"bad"
"_0","critical_other_existing_credit",6331.0,"_7","for_free",46.0,"male_single","skilled","yes",4.0,"bad"
"_200","existing_paid",1377.0,"_7","for_free",47.0,"female_div_dep_mar","skilled","yes",2.0,"good"
"0_X_200","delayed_previously",2503.0,"_7","own",41.0,"male_single","skilled","none",2.0,"good"
"0_X_200","existing_paid",2528.0,"_1","own",32.0,"female_div_dep_mar","skilled","yes",1.0,"good"
"no_checking","existing_paid",5324.0,"_7","for_free",35.0,"female_div_dep_mar","skilled","none",4.0,"good"
"0_X_200","existing_paid",6560.0,"4_X_7","own",24.0,"male_single","skilled","none",2.0,"bad"
"0_X_200","no_credits_all_paid",2969.0,"_1","rent",25.0,"female_div_dep_mar","skilled","none",3.0,"bad"
"0_X_200","existing_paid",1206.0,"_7","own",25.0,"female_div_dep_mar","skilled","none",4.0,"good"
"0_X_200","existing_paid",2118.0,"1_X_4","own",37.0,"male_single","unskilled_resident","none",2.0,"good"
"no_checking","critical_other_existing_credit",629.0,"_7","own",32.0,"male_single","high_qualif_self_emp_mgmt","yes",3.0,"good"
"_0","all_paid",1198.0,"_7","for_free",35.0,"female_div_dep_mar","skilled","none",4.0,"bad"
"no_checking","existing_paid",2476.0,"_7","own",46.0,"male_single","high_qualif_self_emp_mgmt","yes",4.0,"good"
"_0","critical_other_existing_credit",1138.0,"1_X_4","own",25.0,"male_single","unskilled_resident","none",4.0,"good"
"0_X_200","existing_paid",14027.0,"4_X_7","own",27.0,"male_single","high_qualif_self_emp_mgmt","yes",2.0,"bad"
"no_checking","critical_other_existing_credit",7596.0,"_7","own",63.0,"male_single","skilled","none",4.0,"good"
"no_checking","critical_other_existing_credit",3077.0,"_7","own",40.0,"male_single","skilled","yes",2.0,"good"
"no_checking","existing_paid",1505.0,"1_X_4","for_free",32.0,"male_single","high_qualif_self_emp_mgmt","yes",2.0,"good"
"_200","critical_other_existing_credit",3148.0,"1_X_4","own",31.0,"male_single","skilled","yes",2.0,"good"
"0_X_200","no_credits_all_paid",6148.0,"_7","own",31.0,"male_mar_wid","skilled","yes",4.0,"good"
"_200","no_credits_all_paid",1337.0,"_1","own",34.0,"male_single","high_qualif_self_emp_mgmt","yes",2.0,"bad"
"0_X_200","all_paid",433.0,"_1","rent",24.0,"female_div_dep_mar","skilled","none",2.0,"bad"
"_0","existing_paid",1228.0,"1_X_4","own",24.0,"female_div_dep_mar","unskilled_resident","none",2.0,"bad"
"0_X_200","existing_paid",790.0,"1_X_4","own",66.0,"female_div_dep_mar","unskilled_resident","none",3.0,"good"
"no_checking","existing_paid",2570.0,"1_X_4","rent",21.0,"female_div_dep_mar","skilled","none",3.0,"bad"
"no_checking","critical_other_existing_credit",250.0,"1_X_4","own",41.0,"female_div_dep_mar","unskilled_resident","none",2.0,"good"
"no_checking","critical_other_existing_credit",1316.0,"1_X_4","own",47.0,"male_mar_wid","unskilled_resident","none",2.0,"good"
"_0","existing_paid",1882.0,"1_X_4","rent",25.0,"female_div_dep_mar","skilled","none",4.0,"bad"
"0_X_200","all_paid",6416.0,"_7","rent",59.0,"female_div_dep_mar","skilled","none",3.0,"bad"
"_200","critical_other_existing_credit",1275.0,"1_X_4","own",36.0,"male_div_sep","skilled","yes",4.0,"good"
"0_X_200","delayed_previously",6403.0,"_1","own",33.0,"male_single","skilled","none",2.0,"good"
"_0","existing_paid",1987.0,"1_X_4","rent",21.0,"male_single","unskilled_resident","none",4.0,"bad"
"0_X_200","existing_paid",760.0,"4_X_7","own",44.0,"female_div_dep_mar","unskilled_resident","none",2.0,"good"
"no_checking","existing_paid",2603.0,"1_X_4","rent",28.0,"female_div_dep_mar","skilled","yes",4.0,"good"
"no_checking","critical_other_existing_credit",3380.0,"4_X_7","own",37.0,"female_div_dep_mar","skilled","none",1.0,"good"
"0_X_200","all_paid",3990.0,"_1","own",29.0,"female_div_dep_mar","unemp_unskilled_non_res","none",2.0,"good"
"0_X_200","existing_paid",11560.0,"1_X_4","rent",23.0,"female_div_dep_mar","high_qualif_self_emp_mgmt","none",4.0,"bad"
"_0","existing_paid",4380.0,"1_X_4","own",35.0,"male_single","unskilled_resident","yes",4.0,"good"
"no_checking","critical_other_existing_credit",6761.0,"4_X_7","own",45.0,"male_single","high_qualif_self_emp_mgmt","yes",3.0,"good"
"0_X_200","no_credits_all_paid",4280.0,"1_X_4","rent",26.0,"female_div_dep_mar","unskilled_resident","none",4.0,"bad"
